deposit_name,lat,lon,minerals,estimated_tonnage,development_status,county,details
Round Top Mountain,31.3975,-105.405,"Neodymium, Lanthanum, Cerium, Praseodymium, Samarium, Gadolinium, Terbium, Dysprosium, Europium, Holmium, Erbium, Thulium, Ytterbium, Lutetium, Yttrium, Scandium, Beryllium, Uranium, Fluorine, Lithium, Gallium, Hafnium, Zirconium",300000,Major,Hudspeth,"Large deposit in Paleogene laccolith containing over 300,000 metric tons of rare earth oxides including heavy REEs. Active development by Texas Mineral Resources Corp and USA Rare Earth LLC. Defense Department contract awarded. Mining targeted for 2020s with production of high-purity dysprosium and up to 2,000 tons of magnets annually."
Smackover Formation - East Texas,33.4257,-94.0477,Lithium,150000,Major,Bowie,"High-concentration lithium in salty brines - one of the richest deposits in North America. Basin brine path system with potential for large-scale extraction. Major development by Exxon, Chevron, Halliburton, Smackover Lithium, TerraVolta ($225M DOE funding), and EnergyX (planning 50,000 tons/year by 2030). Direct lithium extraction from brines. Refineries planned in Texarkana and Corpus Christi."
Smackover Formation - Texarkana,33.4257,-94.0477,Lithium,100000,Major,Bowie,Extension of Smackover Formation lithium brine deposits. Part of broader East Texas lithium development corridor. Companies include TerraVolta and local refineries.
Texas Helium Plant 1,31.8457,-102.3676,Helium,5000,Early,Midland,Crude helium extraction from natural gas. One of top U.S. producers. New operations started in 2024. Part of statewide network of 5 extraction plants.
Texas Helium Plant 2,32.7555,-101.4782,Helium,5000,Early,Howard,Crude helium extraction from natural gas. Active production facility contributing to Texas's position as major U.S. helium producer.
Texas Helium Plant 3,29.4241,-98.4936,Helium,4000,Early,Bexar,Helium extraction facility processing natural gas. Part of Texas's helium production infrastructure.
Texas Zinc Operations 1,31.7619,-106.485,Zinc,25000,Early,El Paso,Major U.S. zinc producer contributing to Texas's $9.72 billion mineral value in 2024. Active production with reserves information withheld.
Texas Zinc Operations 2,29.7604,-95.3698,Zinc,20000,Early,Harris,Active zinc production facility. Texas is a major contributor to U.S. zinc supply.
Brewster County Ranch REEs,30.0,-103.25,REEs (Unspecified),0,Exploratory,Brewster,"Discovered via geological survey on 353,785-acre state-owned land purchased by Texas General Land Office in 2024. No specific elements or quantities detailed publicly. Potential for future mining but no active development reported."
Cave Peak Molybdenum,30.25,-104.5,"Molybdenum, REEs",0,Exploratory,Brewster,Porphyry-style molybdenum deposit with associated rare earth elements. Occurrences in molybdenum deposit with specific REEs not detailed. Research stage with no commercial production.
Dell City USGS Survey,31.9286,-105.205,REEs (Potential),0,Discovery,Hudspeth,Exploratory sampling of igneous rocks. USGS surveys indicate underground potential similar to Round Top Mountain. Ongoing mapping and assessment funded by USGS ($3.4 million in 2024).
Sierra Blanca Beryllium,31.1743,-105.3572,Beryllium,0,Discovery,Hudspeth,In volcanic rocks and pegmatites associated with Round Top district. No current production - resources identified but undeveloped.
